pozisyon,pozisyon_kisa,city,firma,metin,b_sayisi,g_sayisi,sure,urls,Askerlik Durumu:,Company Industry:,Departman:,Eğitim Seviyesi:,Firma Sektörü:,Job Location:,Job Role:,Job Type :,Languages:,Level of education:,Military Status:,Number of vacancies:,Personel Sayısı:,Position Level:,Pozisyon Seviyesi:,Tecrübe:,University Department:,Yabancı Dil:,Years of Experience:,Çalışma Şekli :,Ülke/Şehir:,Üniversite Bölümü:,cluster
Veri Tabanı Uzmanı,develoaper,İstanbul(Avr.)(Bahçelievler),Rasyotek İnsan Kaynakları Bilişim A.Ş.,"GENEL NİTELİKLER VE İŞ TANIMI
Genel Nitelikler
- Üniversitelerin Bilgisayar Mühendisliği, Matematik, İstatistik vb. bölümlerinden mezun,
- T-SQL sorgulama ve SQL yordamları (Stored Procedure, Function, Trigger, View) konusunda en az 3 yıl tecrübeli,
- Kompleks T-SQL sorguları yazabilen,
- Veritabanı tasarımı, indeksleme ve optimizasyon prensiplerine hakim,
- İlişkisel (RDBMS) veritabanı sistemlerinde hakim,
- Tercihen PostgreSQL bilgisi olan,
- Temel Network bilgi ve becerilerine sahip,
- JIRA, Azure DevOps vb. süreç yönetimi uygulamaları kullanmış,
- Düzenli raporlama alışkanlığı olan ve dokümantasyona önem veren,
- Takım çalışmasına yatkın, analitik düşünme ve problem çözme yeteneğine sahip, etkili iletişim becerileri olan,
- İş ihtiyaçlarını ve sistem gerekliliklerini anlayabilen,
- Sorumluluk sahibi,
 İş Tanımı
- Yazılım geliştirme ekibiyle çalışarak, ihtiyaca göre veritabanı tasarımının yapılması, veritabanı nesnelerinin geliştirilmesi,
- Veritabanı kaynaklı oluşan problemlerin çözümünde aktif rol oynanması,
- Veritabanı standartlarının uygulanması, teknik dokümantasyonun hazırlanması",100-200,2509,1,https://www.kariyer.net/is-ilani/rasyotek-insan-kaynaklari-bilisim-a-s-veri-tabani-uzmani-2638040,,,Teknoloji,Üniversite(Mezun),"Bilişim, Bilişim Danışmanlığı, İnsan Kaynakları Danışmanlığı , Eğitim",,,,,,,,Belirtilmemiştir,,,En az 3 yıl tecrübeli adaylar,,,,Sürekli / Tam zamanlı,İstanbul(Avr.)(Bahçelievler),,5
İş Analisti (Dijital Kanallar ve Mobil Deneyimli),iş analisti,"İstanbul(Avr.), İstanbul(Asya)",BA-WORKS,"GENEL NİTELİKLER VE İŞ TANIMI
Üniversitelerin 4 yıllık Endüstri Mühendisliği, Yönetim Bilişim Sistemleri (MIS), Bilgisayar Mühendisliği, Matematik, İstatistik vb.bölümlerinden mezun
Sigortacılık sektöründe Dijital Kanallar ve Mobil alanlarında minimum 2 yıllık iş tecrübesine sahip
Bankacılık ya da Sigorta sektöründe iş talepleri doğrultusunda iş süreçleri tasarımı, fonksiyonel ve teknik analiz deneyimi olan
İyi derecede İngilizce bilen
Analitik düşünme yetkinliğine sahip ve iletişimi kuvvetli
Farklı projeleri koordine ve takip etme konusunda başarılı
İş ihtiyaçlarını ve sistem gerekliliklerini anlayabilen
Sorumluluk sahibi 


İŞ TANIMI
Agile ve waterfall metodolojilerle gerçekleştirilen projelerde yeni yazılım geliştirme ihtiyaçlarının ve ürün kapsamının belirlenmesi
Uluslararası iş analizi tekniklerini:
Use cases
User stories
Traceability Matrix
Business Rules Analysis
Prototyping                                                
Brainstorming                                              
Traceability Matrices
 kullanarak gereksinimlerin belirlenmesi
Otomasyon araçları kullanılarak gereksinimlerin dokümantasyonu
İş birimleri ile kullanıcı kabul testlerinin koordinasyonu 

Neden Ba-Works?
Uzun süre yalnız tek bir alanda analiz yapmak yerine farklı sektör ve alanlarda kendini geliştirerek kariyerinizde hızla yükselme fırsatı yakalamak
İş analisti kariyer gelişim programı dahilinde İş analizi, Proje Yönetimi, Sistem Analizi, Kurumsal Mimari, Ekran Tasarımı, Kullanılabilirlik ve Yazılım Testi alanlarında 10'a yakın uluslararası eğitime katılım
IIBA CBAP sertifika sınavlarına uzman eğitmenler eşliğinde hazırlanma fırsatı 
Uluslararası bilinirliği olan uzmanlarla aynı ortamda çalışma fırsatı
Dünyanın ve Türkiye'nin önde gelen kuruluşlarında proje deneyimi
Yurt dışında farklı ülkelerde proje bazlı çalışma imkanı
Uluslararası metodolojiler ve tekniklerle iş analizi alanında uzmanlaşma imkanı",300-500,2495,1,https://www.kariyer.net/is-ilani/ba-works-is-analisti-dijital-kanallar-ve-mobil-deneyimli-2681253,"Yapıldı, Muaf, Yapılmadı, Tecilli",,Teknoloji,"Üniversite(Mezun), Yüksek Lisans(Öğrenci), Yüksek Lisans(Mezun), Doktora(Öğrenci), Doktora(Mezun)",Bilişim,,,,,,,,Belirtilmemiştir,,Uzman,2 - 10 yıl tecrübeli adaylar,,"İngilizce( Okuma : İyi, Yazma : İyi, Konuşma : İyi)",,Sürekli / Tam zamanlı,"İstanbul(Avr.), İstanbul(Asya)",,7
İş Zekası Danışmanı - Telekom Tecrübeli,veri analisti,"İstanbul(Avr.), İstanbul(Asya)",Smartiks Yazılım A.Ş.,"GENEL NİTELİKLER VE İŞ TANIMI

Üniversitelerin 4 yıllık Mühendislik, İstatistik, Matematik fakültelerinden mezun,
İş Zekası konusunda en az 3 sene tecrübeli,
Araştırmacı ve yenilikçi bir yaklaşım gösterebilen,
Takım çalışmasına yatkın,
Hızlı öğrenme yeteneğine sahip,
Çözüm odaklı,
Verimli çalışabilen,
Sorumluluk sahibi,
Erkek adaylar için askerlik hizmetini tamamlamış
İŞ TANIMI
T-SQL sorgulama dilini iyi derecede kullanan, iyi derecede stored procedure yazan, query optimizasyonu konusunda deneyim sahibi,
ETL ürünlerinden SSIS /ODI /Informatica üzerinde ETL tasarım ve geliştirme yapmış,
Rapor uygulamalarına hakim, Reporting Server 2016 / Tableau ve Power BI ile rapor geliştirmiş,
SQL Server Analysis Services üzerinde deneyim sahibi, Tabular Model, OLAP küp mantığını bilen
Kariyerini, İş zekası çözümlerinde Analiz, Raporlama, Uygulama Geliştirme, Veri Tabanı alanlarında geliştirmiş ve ilerletmek isteyen ekip arkadaşları arıyoruz.",500-750,6964,1,https://www.kariyer.net/is-ilani/smartiks-yazilim-a-s-is-zekasi-danismani-telekom-tecrubeli-2368509,,,Teknoloji,"Üniversite(Mezun), Yüksek Lisans(Öğrenci), Yüksek Lisans(Mezun), Doktora(Öğrenci), Doktora(Mezun)",Bilişim,,,,,,,,Belirtilmemiştir,,Uzman,En az 5 yıl tecrübeli adaylar,,,,Sürekli / Tam zamanlı,"İstanbul(Avr.), İstanbul(Asya)",,0
Yazılım Destek Uzmanı,develoaper,İzmir,Firma Bilgisi Gizli,"GENEL NİTELİKLER VE İŞ TANIMI
Şirketimiz bünyesinde geliştirilen iş yazılımlarının desteği ve projelendirme çalışmalarında ekibimize katılmak üzere;
-Üniversitelerin tercihen İstatistik, Metematik, Endüstri Mühendisliği bölümlerinden mezun,
-MSSQL bilen
-En az 1 ERP sistemi bilen 
-Takım çalışmasına yatkın
-Esnek mesai saatlerine uygun,
-Seyahat engeli olmayan,
-Erkek adaylar için askerliğini tamamlamış,",0-50,273,7,https://www.kariyer.net/is-ilani/firma-bilgisi-gizli-yazilim-destek-uzmani-2758976,Yapıldı,,Teknoloji,"Üniversite(Mezun), Yüksek Lisans(Mezun)",,,,,,,,,Belirtilmemiştir,,Uzman,Tecrübeli ya da tecrübesiz adaylar,,,,Sürekli / Tam zamanlı,İzmir,"Endüstri Mühendisliği,İstatistik,Matematik",5
İş Zekası Uzmanı,veri analisti,İstanbul(Asya)(Üsküdar),EKSİM YATIRIM HOLDİNG A.Ş.,"GENEL NİTELİKLER VE İŞ TANIMI
Temelleri 1986 yılında atılan Eksim Yatırım Holding faaliyet gösterdiği yenilenebilir enerji üretimi, elektrik dağıtımı ve perakende hizmetleri, gıda üretimi, inşaat ve gayrimenkul alanlarındaki yatırımlarıyla ülkemizin önde gelen holdingleri arasında yer alıyor. Enerji üretiminde tamamı yenilenebilir kaynaklara dayanan 623 MW’lık kurulu gücü ile Eksim, dağıtımını yaptığı yıllık 23 milyar kilovatsaat elektrikle birlikte 6 milyon insanımızın elektrik ihtiyacını karşılıyor. Eksim’in yirmiden fazla iştirakinde, yaklaşık 7 bin kişi çalışıyor.
 Eksim Yatırım Holding A.Ş. bünyesinde İş Zekası ve Raporlama Müdürlüğü Departmanında görevlendirilmek üzere aşağıdaki niteliklere sahip “İş Zekası Uzmanı” arıyoruz. 
  GENEL NİTELİKLER
 Üniversitelerin Yönetim Bilişim - Bilgisayar Müh. - Endüstri - İstatistik – Matematik - Dijital Grafik - Tasarım bölümlerinden mezun olmak ,
En az 5 ve üzeri yıl iş deneyimine sahip olmak,
Teknik İngilizceye hakim,
Database mimarileri ve SQL dilleri hakkında yeterli bilgiye sahip,
Veri ambarları, veri modelleme konularında yeterli bilgiye sahip,
İş Zekası toolları arasında en az birinde uzmanlaşması (Tableau, QlickView, Qlicksence, Power BI, SAP BO v.b),
Veri Görselleştirme kapsamında; Sayıları Etkin Sunma, Grafik/Tablo/Harita teknikleri ile Görme - Algılama konusunda deneyim ve ileri seviye bilgiye sahip,
Etkili, kolay anlaşılır sunum ve dokümantasyon becerisine sahip,
İş hedeflerini karşılamak için iş zekası standartlarının geliştirilmesini desteklemek,
 İŞ TANIMI
 Grup şirketlerinin doğrudan talepleri ile muhtemel ihtiyaçları doğrultusunda raporların hazırlanması,
Taleplerin çeşitliliği düşünülerek, genel veri havuzunun geliştirilmesi için görüş sunulması,
Hazırlanan rapor ve sunuların destek, eğitim ve sunum işlemlerinin yerine getirilmesi,
İş Zekası raporlarının belirlenen standardizasyona bağlı kalması, standartların geliştirilmesine katkı sunmak, rapor bütünlüğünü sağlanması,
İş Zekası teknolojilerindeki yeniliklerin takibi ve raporlama sunucuları hakkında deneyim kazanması,",0-50,344,8,https://www.kariyer.net/is-ilani/eksim-yatirim-holding-a-s-is-zekasi-uzmani-2757870,"Yapıldı, Tecilli",,Teknoloji,"Üniversite(Mezun), Yüksek Lisans(Öğrenci), Yüksek Lisans(Mezun)","Enerji, Enerji Üretim ve Dağıtım, Yenilenebilir Enerji",,,,,,,,Belirtilmemiştir,,Uzman,En az 5 yıl tecrübeli adaylar,,,,Sürekli / Tam zamanlı,İstanbul(Asya)(Üsküdar),,1
Yazılım Test Uzmanı-Bankacılık,develoaper,İstanbul(Avr.),NETAŞ,"GENEL NİTELİKLER VE İŞ TANIMI
Bankacılık Sektöründe, Bilgi Teknolojileri Test Süreçlerinde çalışmak üzere;
Üniversitelerin 4 yıllık fakültelerinden tercihen Matematik, İstatistik veya Mühendislik Fakültelerinden mezun
Bankacılık Sektöründe 2 yıl ve üzeri tecrübeli
Temel SQL Bilgisine Sahip
BT Test Süreçlerini bilen, süreçleri uygulamış
Tercihen Test otomasyon konusunda bilgili, öğrenmeye açık
Analitik düşünce yapısına sahip olan
Ekip Oyuncusu
Güçlü iletişim
Esnek çalışma saatlerine uyumlu
Tercihen Avrupa Yakasında ikamet eden
Davutpaşa Lokasyonunda çalışacak


İŞ TANIMI
Aşağıdaki konulardan bir/birkaçında Bankacılık Domain Bilgisine sahip olması
Alternatif Dağıtım Kanalında Uzman (Çağrı Merkezi, ATM, İnternet, Mobil)
Krediler
Kartlı Ödemeler
Hazine ve Yatırım
Nakit Yönetimi, Ödemeler ve Türev Ürünler
Temel Bankacılık, Mevduat ve Muhasebe
Müşteri ve CRM Uygulamaları
Veri Ambarı ve Raporlama
Kurumsal Mimarı ve Altyapı",3500-4000,29386,268,https://www.kariyer.net/is-ilani/netas-yazilim-test-uzmani-bankacilik-2008103,"Yapıldı, Tecilli",,Teknoloji,"Üniversite(Mezun), Yüksek Lisans(Öğrenci), Yüksek Lisans(Mezun)",Bilişim,,,,,,,,1,,Uzman,En çok 10 yıl tecrübeli adaylar,,,,Sürekli / Tam zamanlı,İstanbul(Avr.),,7
Veri Bilimci,veri analisti,İstanbul(Avr.)(Şişli),Yeşilırmak Elektrik Perakende Satış A.Ş.,"GENEL NİTELİKLER VE İŞ TANIMI
Şirketimizin İstanbul lokasyonunda bulunan Enerji Ticareti Biriminde görev yapmak üzere YEPAŞ enerji ticareti ekibinin bir parçası olmak isteyen veri bilimi alanında görevlendirmek üzere ""Veri Bilimci"" ekip arkadaşı aramaktayız.
        Elektrik enerjisi portföyünün yönetilmesi faaliyetlerinde aktif görev alacak,
        Üniversitelerin bilgisayar bilimi, istatistik, matematik, mühendislik bölümlerinden   mezun,
        Python programlama dilini kullanabilen,
        Temel istatistik bilgisine ve güçlü veri analizi yorumlama ve veri görselleştirme           becerilerine sahip,
        Veri analitiği, modelleme, optimizasyon gibi sayısal konulara ilgi duyan,
         Python tabanlı pandas, scikit-learn gibi temel kütüphanelere hakim,
         Makine öğrenmesi yöntemleri alanında modelleme teknikleri konusunda deneyim     kazanmış,
        Açık kaynak yazılım teknolojilerini ve literatürü takip eden, ve yeni teknoloji ve   metodolojileri kullanarak iş kalitesini ve başarısını arttırmayı hedefleyen,
        Literatür takip edebilecek seviyede İngilizce bilen,
        Analitik düşünen, sonuç odaklı çalışan ve takım çalışmasına yatkın,
        İstanbul' da ikamet eden,",300-500,2957,53,https://www.kariyer.net/is-ilani/yesilirmak-elektrik-perakende-satis-a-s-veri-bilimci-2727764,Yapıldı,,Ticaret,Üniversite(Mezun),Enerji,,,,,,,,Belirtilmemiştir,,Uzman Yardımcısı,Tecrübeli ya da tecrübesiz adaylar,,,,Sürekli / Tam zamanlı,İstanbul(Avr.)(Şişli),,1
Ticaret ve Piyasa İşlemleri Uzman Yardımcısı,finans analisti,İzmir,EKVATOR PERAKENDE ENERJİ TİCARET ANONİM ŞİRKETİ,"GENEL NİTELİKLER VE İŞ TANIMI
Şirketimizin İzmir Genel Müdürlüğü’nde görevlendirilmek üzere “Ticaret ve Piyasa İşlemleri Uzman Yardımcısı” aramaktayız.
 Genel Nitelikler
Üniversitelerin İstatistik, Ekonometri, Endüstri Mühendisliği bölümlerinden mezun
Tercihen elektrik piyasası mevzuatına hakim ve elektrik piyasası işlemlerinde 2 yıl deneyimli
Analitik yönü gelişmiş
İyi derecede MS Office programlarını kullanabilen
İnsan ilişkileri kuvvetli, ikna kabiliyeti yüksek
Detaylı araştırma, veri analizi ve raporlama yapabilen
Sonuç odaklı,
Sistematik çalışabilen, zaman yönetimi yapabilen
Türkçeyi iyi konuşabilen, yazabilen ve kullanabilen
Erkek adaylar için askerlik görevini tamamlamış

İş Tanımı
Düzenleyici ve ilgili kurumlar nezdinde ticaret ile ilgili iş ve işlemleri yapmak
Portföy risk ve fırsat yönetimi yapmak
Talep Tahminleri, GÖP ve GİP işlemlerini yapmak
Uzlaştırma ve Dengeden Sorumlu Grup hesaplamalarının kontrollerini yapmak
Günlük enerji ticaret raporlarını hazırlamak
Elektrik piyasası mevzuatını ve piyasa trendlerini takip etmek
Yeni düzenlemelerin finansal ve operasyonel etkilerini raporlamak
Enerji tedarik sözleşme süreçlerini yürütmek
Detaylı veri analizleri ve modellemeler yapmak",100-200,1277,18,https://www.kariyer.net/is-ilani/ekvator-perakende-enerji-ticaret-anonim-sirketi-ticaret-ve-piyasa-islemleri-uzman-yardimcisi-2749272,Yapıldı,,Ticaret,"Üniversite(Mezun), Yüksek Lisans(Mezun)",Enerji,,,,,,,,Belirtilmemiştir,,Uzman,En az 2 yıl tecrübeli adaylar,,,,Sürekli / Tam zamanlı,İzmir,,0
Satın Alma Uzmanı,ticaret uzmanı,Eskişehir,Epsilon NDT,"GENEL NİTELİKLER VE İŞ TANIMI
Üniversitelerin Malzeme ve Metalurji Mühendisliği, Endüstri Mühendisliği, İşletme, İktisat, Matematik veya İstatistik bölümlerinden mezun,
Tercihen metal sektöründe,satış ve pazarlama alanında en az 2 yıl tecrübeli,
İyi seviyede İngilizce bilen,
Microsoft Office programlarını iyi seviyede kullanabilen,
Takım çalışmasına yatkın,
Analitik düşünce yapısına sahip, hedef ve sonuç odaklı, ikna kabiliyeti yüksek,
İletişim yönü güçlü, 
B sınıfı ehliyete sahip, aktif araç kullanabilen, 
Eskişehir'de ikamet eden, kadın adaylar

İŞ TANIMI
Talep edilen ham madde, sarf malzeme, yedek parça, yarı mamul  ve  hizmet satın almalarını, belirlenen hedeflerden ödün vermemek kaydı ile en ekonomik şekilde gerçekleştirmek,
Sipariş sürecinin sipariş şartlarına uygun olarak tamamlanmasını sağlamak,
Alternatif tedarikçi firmalar için piyasa araştırması yapmak,
Tedarikçi performans değerlendirmeleri yapmak ve raporlamak,
Bağlı bulunduğu yöneticinin vermiş olduğu diğer görevleri yerine getirmek,",500-750,5975,40,https://www.kariyer.net/is-ilani/epsilon-ndt-satin-alma-uzmani-2533113,"Yapıldı, Muaf",,Ticaret,"Üniversite(Mezun), Yüksek Lisans(Öğrenci), Yüksek Lisans(Mezun)",Metal Sanayi,,,,,,,,Belirtilmemiştir,,Uzman,2 - 5 yıl tecrübeli adaylar,,,,Sürekli / Tam zamanlı,Eskişehir,"Endüstri Mühendisliği,İktisat,İşletme,Matematik,Metalurji ve Malzeme Mühendisliği",3
Ticari Kredi Risk Stratejileri Uzmanı,finans analisti,İstanbul(Avr.)(Beşiktaş),Yapı Kredi,"GENEL NİTELİKLER VE İŞ TANIMI
Sevgili #RiskGurusu,
 Bulunduğumuz dönemde daha da önem kazanan etkin Risk Yönetimi dünyasında, karar alma mekanizmalarını analizlere dayalı bir yaklaşımla güçlendirip ve kredi portföyünü uygun risk seviyesinde tutma alanında uzmanlaşırken, evden çalışacağın bu dönemde Yapı Kredili olmanın ayrıcalıklarına bir tıkla ulaşmanı sağlıyoruz!
 GENEL NİTELİKLER VE İŞ TANIMI
 Bankamızın Ticari kredi portföyünü risk açısından sağlıklı olarak yönetmek amacıyla uygun stratejilerin karar destek sistemlerine entegrasyonunu sağlayacak, sonuçlarını analiz ederek geliştirme önerileri sunabilecek, problem çözme ve analitik düşünme yeteneğine sahip Ticari Kredi Risk Stratejileri Uzmanı arıyoruz.
 Neler Bekliyoruz;
Üniversitelerin İstatistik/Matematik/Finans/Ekonomi/Mühendislik bölümlerinde lisans veya yüksek lisanstan minimum 2.75 ortalama ile mezun olmanı
Veri ile uğraşmaya hevesli yeni mezun veya en fazla 1 yıl deneyime sahip olmanı
Araştırmayı sevmeni
Problem çözme ve analitik düşünme yeteneğine sahip olmanı ve iletişim becerilerinin güçlü olmasını
Takım çalışmasına yatkın ve sorumluluk sahibi olmanı
İstatistik ve veri analizi konularında yetkin, akademik ve uygulama bilgilerine sahip olmanı
Temel programlama ve veri tabanı kavramları hakkında bilgi sahibi olmanı
İleri derecede MS Excel, PowerPoint ve SQL programını etkin kullanabilmeni
İyi derecede sözlü ve yazılı İngilizce bilgisine sahip olmanı
İnsiyatif alabilen ve iş takibi konusunda başarılı olmanı
Analitik düşünmeyi hayatının bir parçası haline getirebilmeni bekliyoruz.

Sen de;
Araştırmayı, veri ile uğraşmayı severim
İletişim becerilerime oldukça güvenirim
Hızlı ve tempolu bir ortamda çalışmak bana keyif verir
Gelişen ve değişen dünya koşullarına kolayca uyum sağlayabilirim diyor musun?

O zaman bu ilan tam sana göre! 

Bu macerada seni neler bekleyecek;
 Kredi portföyünü; Tahsis, Tahsilat veya Portföy Yönetimi Stratejileri ile bankanın hedefleri doğrultusunda değerlendirip, bu hedeflere uygun yöneterek banka karının artırılmasında aktif görev alacaksın
 İstatistiksel analizler, karar ağaçları ve simülasyonlar yapacak, bu çalışmaların sonuçlarını yorumlayarak yeni fikirler üretme ve üst yönetime sunma fırsatı elde edeceksin
Yaptığın analizlerin sonuçları doğrultusunda stratejileri revize edecek, bu revizelerin entegrasyonunu (PowerCurve SM gibi) karar destek sistemlerine yaparken ilgili yazılımları öğrenme ve kendini kodlama alanında geliştirme imkanı bulacaksın
Ağırlıklı olarak SQL kullanarak hayata geçirilen değişikliklerin takibini sağlayacak, yaptığımız çalışmaların gerçek hayata etkisini gözlemleyebilecek ve gerekli aksiyonları hayata geçireceksin
Banka kredi süreçlerinde yapılan geliştirmelere yönelik büyük projelerde aktif rol oynayacak bu sayede bankadaki farklı ekiplerle çalışma fırsatı bulacaksın
Stratejilerde kullanılan verinin doğruluğunun kontrolünü, kullanılan verilerin çeşitliliğini arttırılması sağlayacak ve veri kalitesinin sürekli iyileşmesinde yer alacaksın
Kredi portföylerinin risk ve kar açısından optimum şekilde yönetilmesi için gerekli olan “Datamart”ın oluşturulması sağlayacak ve zenginleştirilmesi çalışmalarından sorumlu olacaksın
 İşte en sevdiğimiz kısım, Yapı Kredi’li olmanın ayrıcalıkları;
-Dikkat! Yazının buradan sonraki kısmı Yapı Kredi dünyası hakkında yoğun spoiler içermektedir.
Yapı Kredi Bankacılık Akademisi ile kendini her alanda geliştirmeye devam edeceksin
Kariyerine farklı ekiplerde devam etmek istersen, kariyer yolların açık olacak
Şimdiden alışmaya bak, bundan sonra en çok duyacağın cümlelerden birisi “O konsere/tiyatroya da mı gittin!” olacak. Çünkü Yapı Kredi’lilerin kulübü BizClub sayesinde artık birçok etkinliğe indirimli biletler alabilecek, hobilerine uygun aktivitelere katılarak çalışırken sosyalleşmekten geri kalmayacaksın
Bir parçası olduğumuz Koç Topluluğu çalışanlarına özel Koç Ailem’in bir parçası olabilecek ve çok avantajlı alışverişler yapabileceksin.

Eğer sen de bu dünyada yerini almak istersen;
Haydi hemen sihirli altı harfli kelimeye tıkla ve Yapı Kredi ailesinin bir parçası olma yolundaki ilk adımını at!",750-1000,4723,76,https://www.kariyer.net/is-ilani/yapi-kredi-ticari-kredi-risk-stratejileri-uzmani-2709105,,,"Uyum, İç Kontrol ve Risk Yönetimi","Üniversite(Mezun), Yüksek Lisans(Öğrenci), Yüksek Lisans(Mezun), Doktora(Öğrenci), Doktora(Mezun)",Bankacılık,,,,,,,,Belirtilmemiştir,,Uzman,Tecrübeli ya da tecrübesiz adaylar,,,,Sürekli / Tam zamanlı,İstanbul(Avr.)(Beşiktaş),,2
Analist Yöneticisi,veri analisti,"Ankara, Bursa, Eskişehir, İstanbul(Avr.), İstanbul(Asya)",KIRAÇ ELEKTRİK İNŞAAT MÜHENDİSLİK SANAYİ VE TİCARET LTD.ŞTİ.,"GENEL NİTELİKLER VE İŞ TANIMI
GENEL NİTELİKLER VE İŞ TANIMI
KIRAÇ GROUP' a bağlı faaliyetlerini sürdüren Türkiye’'nin önde gelen şirketlerinden KIRAÇ ELEKTRİK' te görev almak üzere ANALİST YÖNETİCİSİ alınacaktır.
 GENEL NİTELİKLER
 Üniversitelerin Endüstri Mühendisliği, İstatistik veya benzer bölümlerinden mezun,
Analitik düşünce yapısına sahip, problemleri sistematik çözme becerisi yüksek,
Tercihen Finansal analist veya İş analisti pozisyonlarının toplamında en az 10 yıllık deneyim sahibi,
Sistematik, detaylara dikkat eden,
Dökümantasyon ve raporlama konularında uzman,
MS Office uygulamalarına hakim,
Alanındaki teknolojik gelişmeleri takip eden,
ERP tecrübesi olan,
Finansal ve İş Analizleri için kullanılan metodolojileri iyi derecede bilen ve daha önce tecrübe eden,
Planlama ve organizasyon becerisi olan,
Eskişehir ilinde ikamet eden veya ikamet edebilecek.
 İŞ TANIMI
Kurum politika ve hedefleri doğrultusunda Finans ve İş süreçlerinin durum analizlerini yapmak,
İhtiyaç olması halinde geliştirmek ve iyileştirmek için ekipleri bir araya getirmek, yapılan çalışmaları yönetime raporlamak,
Verimliliğin arttırılması için yapılacak çalışmalara katılmak,
Süreç iyileştirme çalışmalarına ERP proje yöneticisi ile birlikte katılmak ve süreç akışlarını bu doğrultuda revize etmek,
İş performansını ölçmek için maliyet analizleri yapmak,
Aylık ve yıllık  bazda satışların analiz edilmesi ,satış verileri doğrultusunda satış tahminlerinin oluşturulması, ve satış raporlarının oluşturulması,
Stok seviyelerin izlenmesi ve kontrol edilmesi.
 ",50-100,1639,8,https://www.kariyer.net/is-ilani/kirac-elektrik-insaat-muhendislik-sanayi-ve-ticare-analist-yoneticisi-2758386,Yapıldı,,Üretim / İmalat,"Üniversite(Mezun), Yüksek Lisans(Mezun)",,,,,,,,,Belirtilmemiştir,,Orta düzey yönetici,10 - 15 yıl tecrübeli adaylar,,,,Sürekli / Tam zamanlı,"Ankara, Bursa, Eskişehir, İstanbul(Avr.), İstanbul(Asya)",,8
Ana Veri Uzman Yardımcısı,veri analisti,İzmir(Dikili),Queen Tarım Sanayi ve Ticaret A.Ş,"GENEL NİTELİKLER VE İŞ TANIMI
İş Tanımı 
Faaliyet konusu çiçek üretimi olan tüm işlerin sistematik kayıtlarını gerçekleştirmek,
Kayıtları gerçekleştirirken yapılan işin saat, adet ve iş bazında takip ve kontrolünü yapmak,
Gerçekleşen kayıtlarda eksik ya da hata varsa saha kontrollerini yaparak eksik ya da hatalı verilerin düzeltilmesini sağlamak,
Üreticilerle verilerin doğruluğu için sürekli iletişim içinde olmak ve doğru verinin sisteme akmasını sağlamak,
Veri kaynağını yönetmek için ekiplere eğitimler vermek,
Verilerin doğru ve zamanında kayıt altına alınması için başlatılacak projenin sorumluluğunu üstlenmek, tüm üretim süreçlerinde aktif rol almak,
Üretim operasyon verilerinin eksiksiz ve doğru şekilde oluşturulduğunu onaylamak ve/veya onaylatmak,
Üretim operasyon verilerinin talimatlara uygun veri girişini sağlamak güncel tutmak,
Oluşan verilerin analizlerini gerçekleştirmek,
Faaliyetler ile ilgili istatistikler düzenlemek,
Günlük, haftalık, aylık ve dönemsel raporlar hazırlamak,
Veri çıktılarıyla ilgili birim ve amirlere geri bildirim vermek. 
Genel Nitelikler 
İleri Excel bilgisi ve becerisine sahip,
Tercihen raporlama ve veri yönetiminde 1 yıl tecrübesi olan,
Çok iyi derecede yazılı sözlü İngilizce becerisine sahip,
Karmaşık verileri anlama ve yorumlama becerisine sahip,
Analitik ve sonuç odaklı düşünmede başarılı,
Takip ve kontrol yeteneği gelişmiş,
Ekip çalışmasında başarılı,
Yenilikçi yaklaşımlara ve fark yaratmaya açık,
İstatistik, Matematik ya da Endüstri Mühendisliği bölümlerinden mezun,
Dikili, Bergama, Çandarlı bölgesinde ikamet eden ya da edebilecek olan. 
 ",100-200,2822,36,https://www.kariyer.net/is-ilani/queen-tarim-sanayi-ve-ticaret-a-s-ana-veri-uzman-yardimcisi-2737612,Yapıldı,,Üretim / İmalat,Üniversite(Mezun),Tarım / Ziraat,,,,,,,,1,,Uzman Yardımcısı,1 - 3 yıl tecrübeli adaylar,,,,Sürekli / Tam zamanlı,İzmir(Dikili),"Endüstri Mühendisliği,Endüstri Sistemleri Mühendisliği,İstatistik,İstatistik ve Bilgisayar Bilimleri,Matematik",1
