Tecrübe,Askerlik-Durumu,Departman,pozisyon,sehir,firma,metin,b_sayisi,g_sayisi,sure
En az 10 yıl tecrübeli adaylar,NaN,Satınalma,Satın Alma Müdürü,İstanbul(Avr.),TW Bilgi ve İletişim Hizm. A.Ş.,"GENEL NİTELİKLER VE İŞ TANIMI
Danışmanlığını yürüttüğümüz üretim sektöründe faaliyet gösteren yabancı menşeli iş ortağımız için""Satın Alma Müdürü""arayışımız mevcuttur.

İŞ TANIMI
Satın alma bütçesinin oluşturulması ve yönetilmesi
Yurtiçi tedarikçilerin yönetimi
Zamana uygun olarak ürün temin edilmesi
Yeni ürün ve üretici bulunması
Pazarlama ve satış ekiplerinin taleplerine uygun ürün tedarik edilmesi
Ürün dışı satınalma süreçlerinin yönetilmesi
Tedarikçi geliştirme süreçlerinin yürütülmesi
Satın alma süreçlerinin tanımlanması
Satın alma ekibinin yönetilmesi
Hedef bazlı yönetim gerçekleştirİlmesi

GENEL NİTELİKLER
Üniversitelerin İşletme, Ekonomi, Maliye, İstatistik bölümlerinden mezun
Satınalma konusunda en az 10 yıl deneyimli
En az 3 yıl ekip yönetimi tecrübesi olan
İleri düzeyde Excel, Powerpoint ve MS Office bilgisine sahip
ERP Programları konusunda tecrübeli
İyi seviye İngilizce bilgisine sahip olmak

Firmamız Türkiye İş Kurumu'nun 2.11.2018 tarih ve 1006 numaralı izin belgesi ile faaliyet göstermektedir.",500-750,2062,24
En az 4 yıl tecrübeli adaylar,Yapıldı,Kalite,Kalite Güvence Uzmanı,İstanbul(Asya)(Pendik),SERAPOOL PORSELEN SANAYİ VE TİCARET A.Ş.,"GENEL NİTELİKLER VE İŞ TANIMI
* Üniversite mezunu olmak,
* ISO 9001 – 2015, ISO 14001, OHSAS 18001 yönetim sistemlerine hakim olmak,
* Takım çalışmasına yatkın olmak,
* Erkek adaylar için askerlik görevini yerine getirmiş olmak,

İŞ TANIMI
* ISO 9001-2015 sistemi kapsamında faaliyetlerin dökümante edilmesinden, dağıtılmasından ve güncelliğinin takibinden sorumludur.
* Kalite Yönetim Sistemi içerisinde yürütülen Düzeltici/ İyileştirme faaliyetlerini takip ederek bölümlere uygulanacak plansız denetimlerde denetim sıklığını tespit eder ve yıllık denetim planının oluşturulmasında etkin rol oynar.
* Denetimler sonrasında denetim bulgularına istinaden ilgili birimlere Düzeltici, Düzeltme  Faaliyeti talebinde bulunur.
*  Bölümlerle koordineli çalışarak  firmada ki riskleri değerlendirerek, riskler karşısında gerekli önlemlerin alınmasını sağlar.
* Müşteri şikayetleri ile ilgili düzeltici faaliyetlerin oluşturulmasını ve etkinliğinin denetlenmesini sağlar.
* Bölümlerle koordineli çalışarak veri ve istatistiki raporlardan yola çıkarak bölüm hedeflerinin analizinin yapılmasında etkin rol oynar.
* Firma içerisinde yürütülen Düzeltici Faaliyetleri takip eder. Aylık periyotta ve altı ayda bir ( Yönetim Gözden Geçirme Toplantıları öncesinde) Düzeltme, Düzeltici ,İyileştirme Faaliyetler ile ilgili verisel analizleri yaparak raporlamalar yapar.
* Süreçlerin iyileştirilmesi ve çalışan personelin yetkinliklerin arttırılması ve gelişimlerinin desteklenmesi amaçlı planlanan eğitimlerin organizasyonunu yapar. Planlanmış oryantasyon ve işe alıştırma eğitimlerinin organizasyonunu yapar.
* Çalışan personelin performans değerlendirme raporlarına istinaden performans analiz raporlarını hazırlar.
* Çevre yönetim sistemi ile ilgili aktivasyon planlarını takip eder.  Çevre yönetim sistemi ile ilgili dökümantasyonun dağıtımından ve sistemin işleyişi ile ilgili raporlamadan sorumludur.
* İşçi Sağılığı ve iş güvenliği yönetim sistemi ile ilgili dökümantasyonun dağıtımından ve sistemin işleyişi ile ilgili raporlamadan sorumludur.
* Gerekli sayıda firma personelinin iç tetkikçi eğitimi almasını sağlar ve iç tetkik eğitimini organize eder.
* ISO 9001-2015 sistemi kapsamında, gerekli dış dokümanların temininden ve güncelliğinin takibinden sorumludur.",300-500,1957,26
1 - 3 yıl tecrübeli adaylar,NaN,Bilgi Teknolojileri / IT,Büyük Veri Uzmanı,İstanbul(Avr.)(Beşiktaş),DorukNet,"GENEL NİTELİKLER VE İŞ TANIMI
 Bilişim sektöründe faaliyet gösteren firmamız için; 
Üniversitelerin Mühendislik veya İstatistik bölümlerinden mezun,
Büyük veri ve akan veri konularına ilgi duyan ve/veya en az 1 yıl tecrübeli,
Python kullanarak proje geliştirmiş ve scala konusunda bilgi sahibi,
Temel istatistik bilgisine sahip, makine öğrenmesi konularına ilgi duyan,
İlişkisel ve\veya noSQL veritabanları konusunda bilgi sahibi, herhangi birinde en az bir proje geliştirmiş,
Tercihen, Apache Kafka, Apache Spark, Apache Hadoop konularında bilgi ve/veya tecrübe sahibi,
Yazılı ve sözlü iletişimi becerisi yüksek olan
Analitik bakış açısı ve problem çözme becerisine sahip olan
Teknolojiyi ve yenilikleri yakından takip eden, öğrenmeye ve gelişmeye açık,
Geliştirme yanında operasyonu da yürütme sorumluluğu alacak,
Profesyonel olarak alanını takip edecek derecede ingilizce bilgisine hakim
Ekip çalışmasına yatkın ",50-100,916,4
En az 5 yıl tecrübeli adaylar,Yapıldı,İş Sağlığı ve Güvenliği,İstanbul İş Güvenliği Şefi,İstanbul(Avr.),ÖZEL ENTEGRE İŞ SAĞLIĞI VE GÜVENLİĞİ HİZMETLERİ A.Ş.,"GENEL NİTELİKLER VE İŞ TANIMI
İş Açıklaması
·         İşverene, iş sağlığı ve güvenliği konularında, rehberlik ve danışmanlık yapmak,
·         İş Sağlığı ve Güvenliği ekibini koordine etmek,
·         İlgili kanun ve yönetmelikler uyarınca yasal sorumluluklarının yerine getirilmesini sağlamak,
·         İş sağlığı ve güvenliği kuruluna, risk değerlendirmelerine ve saha denetlemelerine katılmak.
·         İş kazası, ramak kala olayların kayıt ve istatistiklerini takip etmek,
·         Sağlıklı ve güvenli bir çalışma ortamı oluşturmak üzere gerekli organizasyonları yürütmek,
·         Yasal mevzuatça iş güvenliği uzmanı tarafından verilmesi gereken eğitimlerin programlanmasını ve gerçekleştirilmesini sağlamak,
·         İş Sağlığı ve Güvenliği hizmetlerinin tamamının yürütülebilmesi için sağlanan yazılımı kullanmak

İstenen Yetenek ve Uzmanlıklar
 İstanbul Avrupa yakasında hizmet verdiğimiz firmada görevlendirilmek üzere;
·         İş Güvenliği Uzmanlığı sertifikası sahibi olması,
·         İş Sağlığı ve Güvenliği yasal mevzuatlarına hâkim,
·         Mühendislik mezunu ve mühendisler odasına kayıtlı,
·         Saha uygulamaları konusunda deneyimli,
·         En az 5 yıl Metro ve Tünel şantiye projelerinde görev almış
·         En az 10 yıl iş hayatı tecrübeli,
·         Problem çözme ve sonuç odaklı,
·         Microsoft Office programlarını etkin bir şekilde kullanabilen,
·         İş takibi, dokümantasyon, raporlama ve arşivleme becerilerine sahip,
·         İş disiplini kurallarına uygun çalışabilecek ve ekip çalışmasına yatkın,
·         İnsan ilişkilerinde başarılı, güler yüzlü, hızlı ve doğru karar verme yetisine sahip,
·         Erkek adaylar için askerlik hizmetini tamamlamış,
·         Tercihen kalite yönetim sistemleri standartlarını bilen ve işletmelere kurabilen (ISO 9001, ISO 14001, OHSAS 18001 vb.).
·        Aktif olarak araç kullanabilen",300-500,2639,38
1 - 5 yıl tecrübeli adaylar,"Yapıldı, Muaf, Tecilli",İş Sağlığı ve Güvenliği,Samsun _ İş Yeri Hekimi,Samsun,VAKIF PAZARLAMA SANAYİ VE TİCARET A.Ş,"GENEL NİTELİKLER VE İŞ TANIMI

Vakıf Pazarlama A.Ş. bünyesinde ; yapılandırılmakta olan Vakıf Ortak Sağlık ve Güvenlik Birimi SAMSUN  ili ve sınır komşusu illerde İş yeri Hekimi olarak görevlendirilmek üzere,
Tıp Fakültesi mezunu,
İŞ YERİ HEKİMİ  SERTİFİKASI'na sahip,
Genel iş etiği kurallarına uygun hareket eden,
Entegre Yönetim sistemi kurallarına uyan ve uygulayan,
Çalışma zamanını etkili ve verimli kullanan,
Değişime açık ve değişen koşullara kolay adapte olan,
İnsan ilişkilerinde başarılı,İletişim becerileri güçlü,
Ekip çalışmasına yatkın,
Bilgisayar, tablet veya akıllı telefon uygulamalarını iyi /çok iyi etkin kullanabilen,
Protokol gerekliliklerine uygun davranan,
Giyimine, hizmet verilecek sektöre göre özen gösteren,
Askerlik hizmetini tamamlamış (mükellef adaylar için),
B Sınıfı sürücü belgesine sahip,aktif araç kullanabilen,
Seyahat engeli olmayan,
Tam zamanlı çalışabilecek,


İŞ TANIMI
İşverene, iş sağlığı konusunda rehberlik ve danışmanlık yapmak,
Çalışanların işe giriş ve periyodik sağlık muayenelerinin yapılması ilgili plan, rapor, kayıt ve istatistiklerini takip etmek, yazılım vasıtasıyla merkez birime raporlamak,
Sağlık uygulamalarının, laboratuvar tetkiklerinin ve radyolojik muayenelerin yapılmasını / yaptırılmasını sağlamak,
Sağlıklı ve güvenli bir çalışma ortamı oluşturmak üzere ergonomik ve psikososyal riskleri değerlendirerek, iş ile çalışanın uyumunu sağlamak,
İSG mevzuatına uygun olarak koruyucu ve acil sağlık hizmeti vermek,
İşyerindeki genel hijyen şartlarını denetlemek,
İş kazaları ve acil müdahale gerektiren hastalıklarda ilk müdahalenin yapılmasını, hastanın hastaneye sevk edilmesini sağlamak,
Ziyaret bilgilerini ve yapılan çalışma özetlerini aylık olarak raporlamak,
Mevzuat gereği üstlendiği tüm yasal sorumlulukları yerine getirmek,",0-50,1395,46
En az 5 yıl tecrübeli adaylar,"Yapıldı, Muaf",Üretim / İmalat,Üretim Müdürü,Kayseri(Melikgazi),Kaftan Teknoloji Sanayi Ve Yatırımlar AŞ.,"GENEL NİTELİKLER VE İŞ TANIMI
POZISYON/KADRO:
Ledli Aydınlatma Armatürleri ve Sistemlerinde bölge lideri olan ve Türkiye Liderliğine yelken açmış KAFTAN TEKNOLOJİ SANAYI ve YATIRIMLAR A.S. firmamızda, OKVOLIGHT markalı ürünlerimizin üretim, kalite, satış/pazarlama ve idari proseslerinin yürütülmesinde ve yönetilmesinde görevlendirilmek üzere değişik branşlarda takım arkadaşları arayışlarımız devam etmektedir ve büyüdükçe de devam edecektir. Bu vesile ile bizlere/takımımıza katılıp 'Üretim Müdürü ve/veya Üretim Koordinatörü' kadromuzda çalışabilecek, aşağıda belirtilen niteliklerde ve tecrübeli ekip arkadaşı için başvurularınızı bekliyoruz.
 GENEL NİTELİKLER:
1)Tercihen üniversitelerin Makine, Elektrik-Elektronik mühendislikleri basta olmak üzere mühendislik fakültelerinden mezun olmak;
2)Sistemli ve düzenli çalışmayı prensip edinmiş, iç ve iş Disiplini oturmuş olan;
3)İletişim, müzakere, zaman yönetimi ve etkin planlama kabiliyetine sahip;
4)Hedef ve sonuç odaklı çalışma ile üretim teknikleri konusunda tam donanımlı;
5)İnsan ilişkilerinde başarılı, analitik düşünebilen ve takım çalışmasına uygun;
6)Kendi is motivasyonlarını oluşturup yönetebilen, baskı altında is yapabilme yeteneği gelişmiş;
7)Yenilikçi, yaratıcı ve sorumluluk almaya istekli, öğrenmeye ve bildiklerini öğretmeye açık;
8)Kalite Yönetim Sistemleri ISO9001:2015, ISO14001:2015, ISO18001:2007 uygulamalarına hakim ve özümsemiş;
9)En az bir yabancı dil bilgisi olan (İngilizce );
10)Kayseri'de ikamet eden veya edebilecek.
 POZISYON NITELIKLERI:
I)Tercihen, Türkiye’de üretim Yapan Beyaz Eşya, Elektrik/Elektronik eşya üretimi yapan fabrikalarda üretim tecrübesi olan;
II)Verimlilik, iş akışı, iş süreçleri, üretimin iyileştirilmesi, yalın üretim, 5S verimlilik gibi alanlarda en az 5 yıl tecrübe edinmiş,
III)ERP Yazılımlarından birisini aktif olarak kullanmış, ayrıca CAD ve CAM yazılımlarına hakim;
IV)Elektronik üretim konusunda üst düzey teknik bilgilere sahip;
V)Vardiyalı üretim ve bakim-onarım çalışma sisteminin kurulumu, işletilmesi konularında tecrübeli;
 
İŞ TANIMI:
A)Birinci amirine bağlı olarak, üretim süreçlerimizdeki iş merkezlerini, planlanan üretimlere göre yönetip, is merkezleri, üretim emirleri ve iş istasyonları bazında “kabul, ret, rework, hurda v.b.” raporlamalar yapmak;
B)SMT Dizgi Makinalarının, CAM kontrollü Profil işleme CNC ve profil kesim istasyonlarının,
Lazer Kesim Makinalarının, Punch press ve büküm makinalarının, Boyahane hatlarının, Elektro-Mekanik montaj hatlarımızın; 1)Proseslerini oluşturmak yönetmek, süreç ve kalite iyileştirmeye yönelik çalışmalarda bulunmak; 2)Maliyet düşürme ve operasyon iyileştirme çalışmalarında bulunmak;
C)Günlük üretim süreçlerinde ortaya çıkan problemleri gidermeye yönelik aksiyonları almak ve Üretim Makineleri +Yardımcı tesisler için planlı bakim-onarım faaliyetlerini yürütmek/yönetmek;
D)Maliyet muhasebesi konusunda bilgi sahibi;
E)İstatistiksel proses kontrol çalışmaları yapmak;
F)Üretim faaliyetleri için norm kadro oluşturup, sipariş durumuna göre Üretim birimlerinde çalışan Mavi Yaka ilave personel ihtiyacını planlayıp, uygulayıp, yönetmek. İkili/Üçlü vardiya sistemlerine geçerek veya kısarak, etkin kapasite yönetiminin personel kısmını desteklemek.
G)İstatistiksel proses kontrol çalışmaları yapmak;
H)Görev verildiğinde, müşterilerin ve üretim birimlerinin kalite problemlerinin takibi ve aksiyon planları basta olmak üzere kendisine üst yönetim tarafından verilecek görevleri karar destek verilerini içerecek şekilde zamanında yapmak;
I)Büyüyen organizasyonumuzda Üretim kapasite yönetimi adına, piyasa şartlarına, ar-ur-ge tasarım ve yeni ürünleşme  şartlarına göre gerekli olan Makine/Teçhizat Yatırımlarını tespit etmek, bütçelemek ve etkin kapasite yönetiminin makine/teçhizat kısmını desteklemek üzere zamanında onaya sunmak;
J)Ürünleşme süreçlerinde ar-ur-ge ile birlikte on seri üretimleri/numune üretimleri koordine etmek ve yapmak.
 Aday Kriterleri
Tecrübe
En az 5 yıl tecrübeli adaylar
Askerlik Durumu
Yapmış/Muaf
Adayın Eğitim Seviyesi
Üniversite-Mezun, Yüksek Lisans-Öğrenci, Yüksek Lisans-Mezun, Doktora-Öğrenci, Doktora-Mezun
Pozisyon Bilgileri
Çalışma Şekli
Sürekli / Tam Zamanlı
Departman
ISLETME, Üretim Birimlerimiz
Personel Sayısı
1
Çalışma Şekli:
Hafta içi 08.00 - 17.30
Cumartesi 08.00 - 13.00
Sosyal / Yan Haklar:
Servis, Öğle Yemeği
Çalışan Profili:
Beyaz Yaka: 10-40
Mavi Yaka: 20-60
 ",100-200,1171,11
1 - 3 yıl tecrübeli adaylar,NaN,Analiz / Araştırma,Raporlama Uzman Yardımcısı,İstanbul(Avr.),Gizli Firma,"GENEL NİTELİKLER VE İŞ TANIMI
Üniversitelerin İstatistik, Matematik vb. bölümlerinde lisans veya bu bölümler ile ilgili önlisans öğrenimini tamamlamış,
MS Office programlarına ileri düzeyde hakim,
İleri düzeyde Excel kullanabilen,
Tercihen POWER BI ve Makro bilen
Raporlama Teknikleri konusunda bilgili,
Orta düzeyde ingilizce bilen,
Ekip çalışmasına yatkın, analitik, iş takibi güçlü.

İŞ TANIMI
Data birleştirme ve düzenlemeleriyapmak, veri girişi yapmak,  veri düzenlemek, destek departman olaraktalep edilen raporlarıhazırlamak.",1000-1500,5793,1
En az 1 yıl tecrübeli adaylar,NaN,Müşteri Hizmetleri,RUSÇA BİLEN YAZILIM DESTEK UZMANI,İzmir,UNIVERA A.Ş.,"GENEL NİTELİKLER VE İŞ TANIMI
1992 yılından bugüne OT/VT Teknolojileri ve Mobil Uygulamalar konularında yazılım çözümleri üreten firmamızda, yazılım destek sürecinde görev almak üzere, aşağıdaki niteliklere sahip RUSÇA BİLEN YAZILIM DESTEK UZMANI aramaktayız.
 Bilgisayar / Yazılım / Endüstri Mühendisliği, Bilgisayar Teknolojileri Öğretmenliği, Matematik, İstatistik, Bilgisayar Programcılığı veya ilgili teknik bölümlerden mezun
Yazılım ve yazılım destek alanında en az 1 yıl deneyimli
MS Sql Veritabanına hakim, işletim sistemi ve Muhasebe yazılımları bilgisi olan
İyi derecede Rusça bilen
Tercihen İngilizce bilgisi olan
Müşteri memnuniyetine önem veren, dinamik ve çözüm odaklı çalışan
İletişim becerileri gelişmiş
Yurtiçi ve Yurtdışı seyahat engeli olmayan
Erkek adaylar için askerliğini yapmış ya da askerliği en az 2 yıl tecilli olan


İŞ TANIMI
Özellikle Rusya ve Türki Cumhuriyetler pazarında faaliyet gösteren müşterilerimizin kullandığı yazılımlarımızda
Müşteri ve rut tanımlama
Saha Elemanı tanımlama
Ürün Tanımlama
Sabit ve Dinamik Raporlar altındaki raporlar ile raporlama yapılması
Sahada çalışan müşterilerimize yazılımımız ile ilgili destek verilmesi 
Müşterimizin merkezlerindeki proje sorumluları ve teknik ekibiyle koordineli çalışılması",0-50,505,5
En çok 3 yıl tecrübeli adaylar,"Yapıldı, Muaf",Operasyon,Veri Giriş Elemanı,İstanbul(Asya),TÜRK EKSPRES HAVACILIK VE TURİZM A.Ş.,"GENEL NİTELİKLER VE İŞ TANIMI
Tercihen üniversitelerin Endüstri Mühendisliği veya İstatistik bölümlerinden mezun,
İyi seviyede Excel ve raporlama bilgisine sahip,
Tercihen İngilizce bilen,
Analitik düşünebilen ve planlama becerileri gelişmiş,
Dikkatli, sabırlı ve ayrıntıya önem veren,
İletişim becerileri yüksek ve ekip çalışmasına yatkın,
Erkek adaylar için tercihen askerlik hizmetini tamamlamış.

Turizm sektöründe hizmet vermekte olan firmamız için, iş birimlerinin ihtiyacı olan veri girişlerini ve rapor analizlerini yapabilecek yeni mezun veya maksimum 3 yıl tecrübeli bir personel istihdam edilecektir.",500-750,3774,12
En az 5 yıl tecrübeli adaylar,Yapıldı,Eğitim,Finans Şefi,İstanbul(Asya),Gizli Firma,"GENEL NİTELİKLER VE İŞ TANIMI
Eğitim Sektörünün Öncü Kurumlarından Biri Olan Kurumumuzda Görevlendirilmek Üzere;
·         Üniversitelerin ilgili bölümlerinden (İşletme, İktisat, İstatistik, Ekonomi vb.) mezun,
·         Finansman, cari işlemler, nakit akışı, risk yönetimi, çek ve senet mevzuatı alanlarında en az 5 yıl deneyim sahibi,
·         Ödeme listelerinin hazırlanması ve takibi konusunda deneyimli, 
·         Bütçe ve Finansal Raporlama konularında deneyimli,
·         Planlama ve organize etme yetkinliğine sahip ve zamanı etkin yönetebilen,
·         Yoğun çalışma temposuna uyum sağlayabilen,
·         MS Office programlarını iyi derecede kullanabilen,
·         İstanbul Anadolu Yakası’nda ikamet eden,
·         Erkek adaylar için askerlik hizmetini tamamlamış,

                                                                             Finans Şefi aranmaktadır.",300-500,1361,13
2 - 5 yıl tecrübeli adaylar,Yapıldı,Planlama,Ürün Planlama Sorumlusu,İstanbul(Avr.),Başbuğ Oto Yedek Parça İth.İhr.San.Tic.A.Ş,"GENEL NİTELİKLER VE İŞ TANIMI
        Tercihen üniversitelerin Mühendislik, İşletme, İstatistik bölümlerinden mezun
        Perakende sektöründe ürün yönetimi ve planlama konusunda en az 2 yıl deneyimli
        MS Office programlarını (Özellikle MS Excel) etkin kullanabilen,
        Analitik düşünme ve yorumlayabilme yeteneğine sahip
        Problem çözme ve karar alma yeteneği gelişmiş
        Sayılarla çalışmayı seven
        Hızlı büyüme ve değişimi yönetebilen, planlı ve detaylı çalışmaya yatkın
       Erkek adaylar için askerlik görevini tamamlamış.
   İŞ TANIMI
       Satış analizleri ve satın alma planları ışığında ürünlerin sipariş miktarlarını analitik yöntemlerle belirlemek
       Satın alma siparişlerinin zamanında temininin sağlanması ve bu süreçteki tüm takip ve koordinasyon faaliyetlerine destek verilmesi
      Ürün yaşlandırma sürecini takip etmek, gerekli kampanya ve fiyatlandırma çalışmalarına destek vermek
       Her ay içerisinde gerçekleşen satışlar ile bütçeleri karşılaştırmak ve bütçe revizyon ihtiyacı varsa tespit etmek
       Satış performansı düşük olan sku ’lar  için indirim çalışmasının yapılması için süreci başlatmak ve sonuçlarını analiz etmek
        Şubelerin kapasitelerini ve satış potansiyellerini dikkate alarak merkez depo-şube ve şubeler arası transfer hareketlerine, yol süreleri ve gümrük bekleme sürelerini dikkate alarak yön vermek,
       Emniyet stoklarının kontrol edilerek revize edilmesi, stok seviyeleri ile ilgili raporların oluşturulması",100-200,901,14
2 - 4 yıl tecrübeli adaylar,"Yapıldı, Muaf",Yönetim,İş Analisti,İstanbul(Asya)(Pendik),TİBET İTHALAT İHRACAT VE KOZMETİK SAN. A.Ş,"GENEL NİTELİKLER VE İŞ TANIMI
RAPORLAMA VE İŞ ANALİZ UZMANI
Türkiye’nin Lider Markalarını bünyesinde bulunduran %100 Türk Sermayeli Sultanlar Grup, 75 Yıllık tecrübesiyle,
Gıda ve Temizlik ürünleri kategorisinde CAMSİL, KENTON, ARI MAMA, SALOON, ERNET, PİKNİK, BÜNSA, TİBTRAP, MİSCAM, ALTIN, DEONET, FİTRUKA markalarıyla lider konumdadır.
Şirketler Topluluğumuzun Pendik / Kurtköy’de bulunan Üretim Tesisinde görevlendirmek üzere, Raporlama ve İş Analiz Uzmanı alınacaktır.

İŞ TANIMI
İş birimleri ile koordinasyonu sağlayarak,
İhtiyaçların sistematik olarak belirlenmesi
Sorumlu olduğu birim ve süreçler için iş analizi ve tasarımı yaparak ihtiyaç halinde yeni sistemler kurma ve/veya mevcut sistemlerin iyileştirerek daha verimli hale getirmek,
Tespit edilen öncelikli veya yönetimin isteği doğrultusunda analizi yapılması istenen süreçler ve projelerde detaya inerek süreci öğrenmek, analizini yapmak, üst yönetime raporlamak
Üretim proseslerinin inceleyerek operasyonel hedefleri üst yönetim ile belirlemek.
Analizi yapılan sürecin kalıcı ve aktarılabilir olmasına imkan sağlayacak dokümantasyonu yapmak,
İşletmeler ile ilgili gerekli bilgi ve belgeler doğrultusunda istenilen raporları hazırlamak, Genel Müdür’e raporlamak. 
Talepler doğrultusunda, gerekli analizlerin ve bilgilendirmenin etkin bir şekilde yapılması,
Dokümante edilmesi,
Genel Müdür’e periyodik olarak raporlanması

GENEL NİTELİKLER
Üniversitelerin Endüstri Mühendisliği, İşletme Mühendisliği, Matematik Mühendisliği, İstatistik ve benzeri bölümlerinden mezun,
İş analizi süreçlerinde en az 2 yıl deneyimli, 
İşletmelerin, İş analizi sürecini yürütebilecek,
İş ihtiyaçlarını sistem gerekliliklerini tespit edebilen, dökümantosyona önem vererek düzenli olarak raporlama yapabilecek, 
İyi derecede İngilizce bilen,
Grafik hazırlama bilgisine sahip, iş analizi teknik ve yöntemlerini takip eden,
SQL ve MS-Office uygulamalarında yetkin (Word, Excel,)
Yöneticiler ve ilgili departmanlar arasında koordinasyonu sağlayarak, gerekli analiz ve çözümlemeleri yapabilecek yetkinliğe sahip olmak,
Kişisel motivasyonu yüksek, sorumluluk sahibi ve disiplinli,
Çözüm odaklı, iletişim becerisi kuvvetli, analitik düşünce becerisi olan,
Planlama, takip, raporlama yetkinliğine sahip.
Erkek adaylar için askerlik hizmetini tamamlamış.
İstanbul Anadolu yakasında ikamet eden",300-500,1890,20
Tecrübeli ya da tecrübesiz adaylar,NaN,AR-GE,Full-Stack Java/React Developer,İstanbul(Avr.)(Esenler),Vadi Kurumsal Bilgi Sistemleri Ltd.Şti.,"GENEL NİTELİKLER VE İŞ TANIMI
Vadi Yazılım, yazılım ekibinde görev alacak “Full-Stack Java/React Developer” pozisyonunda çalışacak iş arkadaşları aramaktadır. 
Bu pozisyon için düşünülen ideal aday aşağıdaki özelliklere sahip olmalıdır: 
Üniversitelerin 4 yıllık lisans eğitim veren Bilgisayar Mühendisliği, Yazılım Mühendisliği, Bilgisayar Teknolojisi ve Bilişim Sistemleri, Elektrik/Elektronik Mühendisliği, Endüstri Mühendisliği ve Fen-Edebiyat Fakültelerinin Matematik, Fizik, İstatistik bölümlerinden mezun, Nesne yönelimli programlama konusunda temel bilgilere sahip, 
İlişkisel Veri-tabanı konularına hakim ve iyi düzeyde SQL bilen,
Web programlama (HTML/CSS, JavaScript/TypeScript/AJAX) konularında bilgi sahibi,
REST/WebApi programlama konusunda bilgi sahibi, 
Tercihen, Spring altyapıları (SpringData, SpringBoot, vs. ) konusunda bilgi ve/veya tecrübe sahibi, 
Tercihen SQL (DB/2, PostgreSQL, MySql, Oracle, SQL Server), NoSQL ( MongoDB, Cassandra vs.) veri tabanlarından en az biri ile uygulama geliştirmiş, 
Tercihen JPA, Hibernate, JDO gibi nesne-ilişkisel çevrim yapıları hakkında bilgi sahibi, • Tercihen Git, Ant, Maven sürüm kontrol sistemlerinden en az birini kullanmış, 
Tercihen JavaScript/ES6/ES7/HTML/HTML5/CSS/Bootstrap/Responsive ve modern web uygulama geliştirme araçları sistemleri (Angular, React, Knockout) konularında bilgi sahibi ve en az biriyle uygulama geliştirmiş, ",100-200,1486,54
1 - 5 yıl tecrübeli adaylar,"Yapıldı, Tecilli",Operasyon,Tecrübeli Sayım Sorumlusu,"İstanbul(Avr.)(Bağcılar, Bahçelievler, Esenler, Güngören, Küçükçekmece)",PARLAR İŞ DESTEK VE TURİZM HİZM. TİC. LTD. ŞTİ.,"GENEL NİTELİKLER VE İŞ TANIMI
İŞ TANIMI
Türkiye genelinde bulunan perakende sektöründeki ön firmalara ait mağaza ve depolarının periyodik olarak sayımlarının gerçekleşmesi ve üstlerine belirlenen raporları sunmak.
GENEL NİTELİKLER
En az Lise, tercihen Ön lisans mezunu,
Mağazacılık sektöründe en az 1 yıl Depo/Stok/Kontrol deneyimi bulunan
ERP program mantığını bilen.
Seyahat engeli olmayan
Aktif araç sürebilen en az 1 yıl ehliyetli, 
Ekip çalışmasına yatkın
Esnek ve yoğun çalışma saatlerine uyum sağlayabilecek
Askerliğini yapmış veya Minimum 2 yıl tecilli
Analitik ve stratejik düşünce becerisi yüksek,
Süreç iyileştirme, istatistiksel çözümler, veri analizi ve raporlama kabiliyeti yüksek,
Hedef ve sonuç odaklı çalışabilecek,
İletişimi güçlü, ekip çalışmasına yatkın,
MS Office uygulamalarını iyi derecede kullanabilen,
Çalışma arkadaşları aramaktayız.",200-300,1097,26
